,label,area,equivalent_diameter,mean_intensity,solidity,orientation,perimeter,area_sq_microns,equivalent_diameter_microns
0,10,4886104.0,2494.2295067793298,134.629258812338,0.9714349335358604,-1.5684340009572384,30377.51830800075,1007104.2120640001,1132.3801960778158
1,11,1853.0,48.572758583327925,140.27630868861306,0.8849092645654251,-0.740061091411144,196.62236636408616,381.93294800000007,22.052032396830878
2,12,748.0,30.860706075232656,141.16176470588235,0.8139281828073993,-1.4326317617770803,140.88834764831844,154.17476800000003,14.010760558155626
3,13,1445.0,42.89325287434272,139.078892733564,0.7641459545214172,1.4681923122106402,205.9655121145938,297.83762,19.473536804951596
4,14,1638.0,45.66800164531175,141.95848595848597,0.8602941176470589,1.3877305802373008,201.72896808188437,337.61800800000003,20.733272746971533
5,15,961.0,34.97975417996089,137.61394380853278,0.8356521739130435,-0.22511316920652433,150.95941546018392,198.07747600000002,15.880808397702246
6,16,1107.0,37.542991037233904,140.06594399277327,0.8010130246020261,-0.152390911889958,180.2081528017131,228.17041200000003,17.044517930904192
7,17,1608.0,45.247863904654565,140.65174129353233,0.849445324881141,1.2166688179386387,200.82947314527271,331.43452800000006,20.542530212713174
8,18,1513.0,43.89090374080148,140.00132187706544,0.8147549811523963,-0.701731685121742,202.3797256769669,311.85350800000003,19.92647029832387
9,19,1107.0,37.542991037233904,141.73712737127371,0.868916797488226,0.6414425960617796,157.10155108391484,228.17041200000003,17.044517930904192
10,20,675.0,29.316150714175198,140.3022222222222,0.8064516129032258,-1.2874350074326304,132.095454429505,139.12830000000002,13.30953242423554
11,21,1003.0,35.73596596384892,141.60917248255234,0.8174409127954361,-1.1483666362516782,177.4802307403552,206.734348,16.22412854758741
12,22,1195.0,39.00668219624068,143.92887029288704,0.8851851851851852,0.4723992003600381,163.58073580374355,246.30862000000002,17.70903371709327
13,23,1411.0,42.38562253431362,140.1048901488306,0.8593179049939099,-1.5076117912296452,185.55129855222071,290.829676,19.243072630578382
14,24,945.0,34.68733731168665,139.63492063492063,0.84375,1.3553605367473436,145.26702730475878,194.77962000000002,15.748051139505739
15,25,1291.0,40.5432146265327,138.5995352439969,0.8623914495657983,-1.3932130745398892,174.20205614730318,266.09575600000005,18.406619440445848
16,26,621.0,28.11906394744562,139.37842190016104,0.8054474708171206,-1.3567794860038873,124.57463914933369,127.99803600000001,12.766055032140313
17,27,1014.0,35.93139154501889,137.79092702169626,0.8170829975825947,0.4373473439523392,169.51576464628798,209.00162400000002,16.312851761438576
18,28,956.0,34.88863718700998,145.52615062761507,0.8490230905861457,-1.1991780744790803,144.05992052357223,197.04689600000003,15.83944128290253
19,29,1165.0,38.51394643004615,139.3708154506438,0.7540453074433657,1.0811788340455284,217.87110370561535,240.12514000000002,17.48533167924095
20,30,593.0,27.47782833536798,141.6273187183811,0.7135980746089049,-0.7288176885858464,140.095454429505,122.22678800000001,12.474934064257063
21,31,654.0,28.856518540128786,143.0749235474006,0.8331210191082803,-0.49131006200579375,123.19595949289331,134.799864,13.10085941721847
22,32,644.0,28.635053113438516,138.3198757763975,0.8,-1.1440651621344173,119.1604255869606,132.738704,13.000314113501087
23,33,560.0,26.702324712498182,138.80892857142857,0.7671232876712328,-0.79240003906593,121.36753236814712,115.42496000000001,12.122855419474176
24,34,1286.0,40.464627201166934,139.57776049766719,0.8410725964682799,0.5703760764038327,191.45079348883237,265.065176,18.37094074932979
25,35,973.0,35.197472594311556,147.12332990750258,0.8943014705882353,-0.38440394550677076,142.61017305526644,200.550868,15.979652557817447
26,36,1352.0,41.489997161749,140.28846153846155,0.7938931297709924,0.6034596108774886,203.14318164425748,278.668832,18.836458711434048
27,37,857.0,33.032806266468405,138.32788798133024,0.8527363184079602,-0.9354663337655799,140.26702730475878,176.64141200000003,14.996894044976656
28,38,1726.0,46.87868869980144,139.90845886442642,0.8370514064015518,-1.4450655656220148,221.83556979968262,355.75621600000005,21.282924669709853
29,39,927.0,34.355393433484295,137.3430420711974,0.8836987607244995,1.4890156037194144,143.8528137423857,191.069532,15.59734861880187
30,40,196.0,15.797308339337176,140.6530612244898,0.6105919003115264,1.2662196299448965,86.94722215136414,40.39873600000001,7.171977986059078
31,41,279.0,18.847647942942654,136.69534050179212,0.7926136363636364,1.3396855852792653,82.15432893255071,57.506364000000005,8.556832166095965
32,42,1596.0,45.078712419470456,138.74812030075188,0.8072837632776935,-0.6025721446232322,221.14318164425748,328.961136,20.465735438439587
33,43,1598.0,45.106948383666904,141.7866082603254,0.8046324269889225,-0.8646038953409853,221.4863273947651,329.373368,20.478554566184776
34,44,1225.0,39.493270848342945,136.94204081632654,0.8254716981132075,0.7325543921301529,182.2731239591687,252.49210000000002,17.929944965147698
35,45,2162.0,52.46659790492825,137.93108233117485,0.7738010021474588,-0.4291132522511212,289.46298679765215,445.62279200000006,23.819835448837427
36,46,1256.0,39.989859566987285,144.2874203821656,0.8832630098452883,-0.5185149274374733,170.51576464628795,258.88169600000003,18.155396243412227
37,47,942.0,34.63223427878316,140.4171974522293,0.8017021276595745,0.22457892036178698,165.23759005323592,194.16127200000003,15.723034362567555
38,48,708.0,30.024216853608277,139.52966101694915,0.8147295742232451,-0.9901416664881584,132.23149339882607,145.93012800000002,13.630994451538157
39,49,1518.0,43.963366896860585,140.60935441370225,0.8313253012048193,-0.3221089530273461,209.21424945612296,312.884088,19.959368571174707
40,50,1043.0,36.44158126589425,147.8868648130393,0.8297533810660302,-0.9257133733838975,167.58073580374355,214.97898800000002,16.54447789471599
